path	sentence
./data/wav_split_gold/560.wav	«Wadid pirdoh?»  
./data/wav_split_gold/1679.wav	 Ңaa? 
./data/wav_split_gold/1280.wav	"maqniwq ŋămgǣ mutraăna adā săwă ŋǣdăki,"
./data/wav_split_gold/1643.wav	 Lǣqmoqrakow piyakor ta! 
./data/wav_split_gold/1493.wav	"nyawaq ŋanih tyuku, "
./data/wav_split_gold/1353.wav	"Tow asăwada mannaqmaq ŋobh,"
./data/wav_split_gold/1230.wav	"Măkodah siina tikăăna ŋǣda tiki yesya wădamh tyaănyaŋi piya yarăkoh mǣnh tyebdyeda, "
./data/wav_split_gold/194.wav	ŋani' taryem'. 
./data/wav_split_gold/1573.wav	" yesʹ ңuq mi yesʹ ңǣsoңotoh syerq ңud sandawa latar ңǣdaki nyaңǣdya myaq ңǣwi aniq, "
./data/wav_split_gold/28.wav	Piliq ponh oyh nih măncăralqnyowamh.
./data/wav_split_gold/826.wav	portyew tyuku mǣmdih. 
./data/wav_split_gold/365.wav	 sǣytadmh»
./data/wav_split_gold/757.wav	«Muŋgoqnaq ŋanih labtǣydoh tinyoq. 
./data/wav_split_gold/535.wav	"maqniwq piliq puda maqniwq taykuy myadmh ōdamcʹ,"
./data/wav_split_gold/632.wav	"nyudămda oyā anih maqniwq  tăryemh ŋămyǎmda nyoya syayq maqniwq nyukcyamda săwămbowna wadāmda maqniwq,  "
./data/wav_split_gold/940.wav	siqiw abărtyeqǣ tyaănyah tănqtănaq ti miŋaq tikawna.
./data/wav_split_gold/53.wav	Ŋuli' yadyembi.
./data/wav_split_gold/705.wav	"Yesya yarakomda ŋodʹh nyudya ăbir nyaqămă̌ŋgudasyā anih,"
./data/wav_split_gold/49.wav	oyh niymh yadri syurtyeqnisăwawh.
./data/wav_split_gold/998.wav	"yada,"
./data/wav_split_gold/864.wav	Ŋaat ti.
./data/wav_split_gold/839.wav	"ănya pida ŋǣ""niwh,"
./data/wav_split_gold/1504.wav	narǣyq nimqŋaq. 
./data/wav_split_gold/1232.wav	Syudbya wǣsăko tyormh nyadqmyacʹ nidawh nǣkălh.
./data/wav_split_gold/210.wav	"tad ŋaniabida sirŋǣ tabcor""ni""im'."
./data/wav_split_gold/292.wav	alʹmyerq?
./data/wav_split_gold/667.wav	Siqiw ăbir usuwǣy yalyah anyesyatiq. 
./data/wav_split_gold/1188.wav	"tiki muŋgar tikăana ŋǣqniwq yesyaăna urawiwa,"
./data/wav_split_gold/737.wav	"Pudăna ǣwǣmdoh ni wirkaădtāq,"
./data/wav_split_gold/1010.wav	"siqiw ăbărtaqyamh maqniwq,"
./data/wav_split_gold/1582.wav	 Malda. 
./data/wav_split_gold/1141.wav	tăryemgawh ŋămgǣ sit mǣmbăŋgudmh». 
./data/wav_split_gold/1019.wav	tyuku ŋamci săppa mǣtaqyami tiqyaqaw».
./data/wav_split_gold/1093.wav	Muŋgoh pyay ăbi tăryemh sirŋa yesya salh ǣwana ŋulih yalăndoh almyerq liq. 
./data/wav_split_gold/306.wav	"Ŋodʹbyatoh tyuku tid taryemh aq,"
./data/wav_split_gold/1570.wav	"anda nyana aya aniq, "
./data/wav_split_gold/1622.wav	Wǣy Lǣqmoqrakor inomdaңow maqniwq: 
./data/wav_split_gold/556.wav	"Ti tărcya ni taraq,"
./data/wav_split_gold/588.wav	"Ti, ti wǣwa ti»."
./data/wav_split_gold/388.wav	Tiki myath myath tyu.
./data/wav_split_gold/464.wav	"Maqniwq mi,"
./data/wav_split_gold/136.wav	Tănyad ŋǣdalyorka taydoh. 
./data/wav_split_gold/1609.wav	abiiyur yalyah anye nacyatiih. 
./data/wav_split_gold/845.wav	"orkita yes-ye mănǣqmăncʹ anda, "
./data/wav_split_gold/1122.wav	«Mănʹ păŋgălmǣmi sit manoŋgadmh».
./data/wav_split_gold/711.wav	«Tyukǒowar ŋămgǣ?
./data/wav_split_gold/1580.wav	Tyedah tǣri tyuku taryemh yeryemonda syerq syan laanakokocyaqyamh …
./data/wav_split_gold/149.wav	"""Tyeda' săwa myestadamd pyul-ina, "
./data/wav_split_gold/656.wav	Ti.» 
./data/wav_split_gold/1604.wav	 Sawaqyaqңǣy.
./data/wav_split_gold/345.wav	"Tǣwqmaădani ănyan tǣwraq,"
./data/wav_split_gold/1477.wav	"tikiyumh yaa ŋǣŋgō tănya ŋădʹbăta,"
./data/wav_split_gold/597.wav	«Tărcyah tănyaŋgobh mambqnanda piliq ponh tărcyawaq ŋǣŋguwaq» 
./data/wav_split_gold/349.wav	Tǣwiq.
./data/wav_split_gold/214.wav	Tikaad ŋob' tarcya 
./data/wav_split_gold/728.wav	"yalǣmdh păkal-yaqmaq tikimh pǣrăcʹ,"
./data/wav_split_gold/1172.wav	"«Tiki syudbyaqyami abtawh,"
./data/wav_split_gold/732.wav	"«Yebcotakon, "
./data/wav_split_gold/1449.wav	"nikanda ărmh soda,"
./data/wav_split_gold/1403.wav	iriini maqnidamh: 
./data/wav_split_gold/496.wav	pidoh tabyedawidoh. 
./data/wav_split_gold/958.wav	"Syudbya wǣsako toqniwq mimh mǣmda yadăbciyeqŋaq, "
./data/wav_split_gold/546.wav	tărcya nye tad nyernyah yaŋgobta tara maqniwq yah obah ninya.
./data/wav_split_gold/447.wav	 maqniwq.
./data/wav_split_gold/1321.wav	syenyǎna ărta nisyǎnda ŋin ŋǣqniwq [nyeracbortʃiwo].
./data/wav_split_gold/1664.wav	 A potom ǣto pro alyeya.
./data/wav_split_gold/725.wav	yabtkoyenh nyenǣy ŋulih». 
./data/wav_split_gold/98.wav	"Tiq ŋǣyaq, mimandoh syerh "
./data/wav_split_gold/1117.wav	Tiki syudbyar nyaarq sawna ibq păŋgălnidawh abǣyq ŋumqyaq tikiq.
./data/wav_split_gold/1640.wav	 Lǣqmoqrakow ңǣwakar taq! 
./data/wav_split_gold/791.wav	myadmh syurtye ăyā anih myakna so. 
./data/wav_split_gold/1231.wav	măncabtaybtyeda. 
./data/wav_split_gold/299.wav	"nyerdyenya tiki liq anyana ŋǣsaq, tiki nyaarq alʹmyer, "
./data/wav_split_gold/1012.wav	" syudbya yedănda tyeruwna tudodoh yaŋgaq, "
./data/wav_split_gold/1149.wav	"ŋilǣda tăsiy sǣryercăwǣyq măncadăŋga,"
./data/wav_split_gold/375.wav	«Tiki padăr ŋămgǣr?»
./data/wav_split_gold/41.wav	"Siqiw yuq măt"" po ŋǣwi ŋǣbtă."
./data/wav_split_gold/1583.wav	 Ilyeqmya  waalq. 
./data/wav_split_gold/611.wav	"usuwǣy nyamda poyomdambăda maqniwq,"
./data/wav_split_gold/1401.wav	Irini myadh nyana anaw. 
./data/wav_split_gold/387.wav	nyonda nyayunda nǣbyowi.
./data/wav_split_gold/1046.wav	 pida ŋilănada nyenǣy ŋămcaq.
./data/wav_split_gold/1078.wav	"«adabh tyenyewănăkǣdmh,"
./data/wav_split_gold/1654.wav	 Pro alyeya i pro woronu u myenya bilo. 
./data/wav_split_gold/1653.wav	 Malda. 
./data/wav_split_gold/1659.wav	 Aa.
./data/wav_split_gold/71.wav	raciyasawǣyq myaknih solamih.
./data/wav_split_gold/1226.wav	Muŋgoh pyay ăbi muncih tăryemh incyelyewa.
./data/wav_split_gold/1740.wav	 Manʹ obcow maqniwq myattyuwandan ңǣbat ңobh myattyuq pinh ǣwandan ңǣbat ңobh pinh anʹq salikami yesʹmya. 
./data/wav_split_gold/1615.wav	Sidya abiiyud tad manǣqңadih yewǣynih syancyoko ibya ңam-yada? 
./data/wav_split_gold/1194.wav	«Ŋobh nyenǣcʹh myattyu». 
./data/wav_split_gold/225.wav	tay'
./data/wav_split_gold/1601.wav	 [nyeracbortʃiwo]
./data/wav_split_gold/376.wav	"«Ŋa,  padmi, maqniwq,"
./data/wav_split_gold/947.wav	"Ŋopoy mungănh mǣyda,"
./data/wav_split_gold/1305.wav	ti ŋămcidoh ŋarkăkoqyaq  tyenyewaŋgudaq. 
./data/wav_split_gold/56.wav	"tʃtob taki raciyasawǣy nyenǣcyaŋgq mancʹ ǣsyǎtiwa,"
./data/wav_split_gold/1156.wav	"siqiw yalyah myaknanda oni,"
./data/wav_split_gold/809.wav	"Sălʹnyanda myuh pǣbtănakǣda ancyerlih pǣbtănakǣdā anih,"
./data/wav_split_gold/1402.wav	"Irini myadh nyana anaw,"
./data/wav_split_gold/327.wav	"Tyuku,"
./data/wav_split_gold/80.wav	ti pyelyeytada ăbtada ŋănih awi.
./data/wav_split_gold/569.wav	nye tunh» 
./data/wav_split_gold/212.wav	"ŋawradna"" wyertolyotana tǣri tad""la"", "
./data/wav_split_gold/796.wav	pinh anda myakna so.
./data/wav_split_gold/1700.wav	 Putkoni niyey ibyandowh putkow? 
./data/wav_split_gold/31.wav	ti Muŋguyăna syan ti po mǣnakǣwaq. 
./data/wav_split_gold/1341.wav	"nyenyaŋgq ŋǣdakiq,"
./data/wav_split_gold/935.wav	"tarsih maqniwq mayanyoh,"
./data/wav_split_gold/1462.wav	"Ti tărcyamh anā, "
./data/wav_split_gold/1016.wav	ancyerrih pinaya.
./data/wav_split_gold/289.wav	] Tyuku tiq alʹmyerq anyana ŋa? 
./data/wav_split_gold/1460.wav	"tănyǎ tyaăkuy tyuku miq ŋarq noyq labăsq mǣŋǣ mǣtaq ŋamdyorŋǣ yathmǣtaq,"
./data/wav_split_gold/1045.wav	"Syudbyanda ŋilh yalăndoh tudo pǣrŋa,"
./data/wav_split_gold/232.wav	"mi arwa""ni""im', "
./data/wav_split_gold/442.wav	Pidăr syerl niŋaq.
./data/wav_split_gold/176.wav	"Yesli tyempyeraturada yaŋgoda, tikar ti mi wuni ŋa"". "
./data/wav_split_gold/1023.wav	pidăr widărăbqnand yoŋgămd săpăŋguw». 
./data/wav_split_gold/191.wav	"tikaad taryem' siwaana sabka niw' tara,"
./data/wav_split_gold/1301.wav	"tidǣh malăna  yaah nyayuh lǣbta tikaăna syudbyako mi ŋamdi,"
./data/wav_split_gold/951.wav	maănda nyād syudbyako pisʹh niwh ŋădarh. 
./data/wav_split_gold/1711.wav	Pida poyorcʹ aya aniq ǣwanyawa aniq. 
./data/wav_split_gold/1290.wav	"mǣ yaah nyah lǣbtăŋgo, "
./data/wav_split_gold/390.wav	"Ŋobh nye aniq,"
./data/wav_split_gold/373.wav	Maqniwq:
./data/wav_split_gold/966.wav	"«Măncyaw adami tănya anih,"
./data/wav_split_gold/1138.wav	"«Pirar ŋǣsa,"
./data/wav_split_gold/967.wav	adămi ni mancyetuh taki mi paryeŋodah yawna syudbya maqniw nyar ăbărtaaqnaq ŋǣdali».
./data/wav_split_gold/1071.wav	nyenǣcyah ŋămcaaw yath ŋăwăr wuniŋaq».
./data/wav_split_gold/1211.wav	"Ŋămgǣh piruwna ŋǣbqnanda ŋodh wǣsăkoqyaq săwuma,"
./data/wav_split_gold/1750.wav	 Tiiyuda nyuuda tikad mi. 
./data/wav_split_gold/718.wav	tăsina salăba ŋămgǣdiki yayolh tănyawăki».
./data/wav_split_gold/1595.wav	" Ti, syanmboy wadakoda tiki syomh mǣqmih. "
./data/wav_split_gold/1109.wav	Tikămda osʹ niwh yaqamh.
./data/wav_split_gold/77.wav	"Mănʹ sămlyaŋg timh mǣqŋaqdamcʹ, "
./data/wav_split_gold/1322.wav	"Ti myakanda aya anih tădawa,"
./data/wav_split_gold/1136.wav	syudbyako yesya salanh tyebwanda syerh yesyamh pyata tibkah tucyeyq wirkădaq.
./data/wav_split_gold/806.wav	Tad tănyah tiki syudbyako lăbtǣymh tad nǣwăda yaananda ŋăyebǣy ŋacyeki tikăana lyasi.  
./data/wav_split_gold/695.wav	"Puucya sǣwda ǣwnyah mǣyda,"
./data/wav_split_gold/733.wav	"siqiw abi, "
./data/wav_split_gold/1443.wav	"wǣnq ŋǣdakiq,"
./data/wav_split_gold/601.wav	maqniwq.
./data/wav_split_gold/1314.wav	Ti maqniwq: 
./data/wav_split_gold/1135.wav	"ăcyah syurămba nyambor ŋămgǣq taykuh miŋgăda ŋuwocyaiq ŋămgǣda tănya,"
./data/wav_split_gold/1170.wav	Myakănda ŋanih ăya.
./data/wav_split_gold/1695.wav	ңariq todoowq myeryeqңayoow! 
./data/wav_split_gold/1077.wav	andanăwa myat tyenyewawăwa».
./data/wav_split_gold/1629.wav	“ancyerq siqmi watorpin maqniwq.q
./data/wav_split_gold/1293.wav	"Ti lukq ŋamdyodāq aniq mǣ̄ nyānd sirtaq maqniwq mi mi ti orkiq totryewh tiki nyānd tǣri sirtaqmaq,"
./data/wav_split_gold/1537.wav	"Punaaw syaqniqrinda unananda ŋǣbqnanda ŋodh,"
./data/wav_split_gold/768.wav	maqniwq. 
./data/wav_split_gold/1709.wav	Tadaw nyaanda maqniwq tiki mi:
./data/wav_split_gold/474.wav	"Maqniwq mi,"
./data/wav_split_gold/112.wav	tʃtobi myuyda mănǣqmăncʹ. Tikanda utʃyerq (ăncyerq) ayoda?» 
./data/wav_split_gold/1063.wav	ŋăwǣd pǣrcyatin ilyewand yambănh?» 
./data/wav_split_gold/1206.wav	Pyelyeynyana maqniwq ŋopoy asăwa nyuda piya yarakoqyaq. 
./data/wav_split_gold/38.wav	"Tăd tikaăd tayna, tyuku taqălʹnyana măncăradmh, tă inkih nyakuna mǣwacʹ."
./data/wav_split_gold/1610.wav	Ңawi syaqniq ңǣbta ңodh Lǣqmoqrakor abiiyuta myath aya
./data/wav_split_gold/1037.wav	tǣdorcyǎtida iriqyaqămda.
./data/wav_split_gold/1094.wav	"almyerq ŋǣwaq, "
./data/wav_split_gold/919.wav	"siqiw ăbi tănyasʹ,"
./data/wav_split_gold/1547.wav	"Ti tikand nye abtărka ŋǣqniwq Noy mărădyaŋgănd nye,"
./data/wav_split_gold/1718.wav	 Tiki oqryeqǣr maqniwq taki pidaramh maniyer? 
./data/wav_split_gold/252.wav	"Tyedah taryemh padnawad amgǣh tyuquq nyana tyedah namdaŋgudoh, tandayah pisaŋgudq. "
./data/wav_split_gold/992.wav	Muŋgoq pyay ăbi ŋopoy ilwah tyaah siqiw ăbărtamh maanda nyah sakăadtǣydā mărcyanda lih nih.
./data/wav_split_gold/930.wav	"ŋămgǣǣrtăna,"
./data/wav_split_gold/1550.wav	pǣdăraana tăryemh ilyewaănda tiki ŋacyekǣcyar niqimh yadǣlq.
./data/wav_split_gold/802.wav	"ti munda nyudyambowa,"
./data/wav_split_gold/507.wav	Maqniwq tiki yawh ǣwăd ǣqmyaadani maqniwq ŋobh yadnamh syurămbădaqyamh măqnǣqdămcʹ.
./data/wav_split_gold/936.wav	tyuku ŋanih ăya».
./data/wav_split_gold/310.wav	"] Syeytʃas sprosim, ya dumayu. "
./data/wav_split_gold/1250.wav	tyedaărth tyebdyeir».
./data/wav_split_gold/880.wav	«Ta syayqnidamh».
./data/wav_split_gold/1479.wav	piliq widăra.
./data/wav_split_gold/1652.wav	 malda? 
./data/wav_split_gold/422.wav	"«uh yabtkoyen ŋuliq man-in, man-in:"
./data/wav_split_gold/1006.wav	"ŋaaq, pyadăr mǣq tur pyataq,"
./data/wav_split_gold/538.wav	maqniwq maqniwq ŋămyeǣyuda păradambăda nyemh odmh.
./data/wav_split_gold/1004.wav	"pidăr pǣdăra yah tyerăn ninawh ŋaq,"
./data/wav_split_gold/1070.wav	"«Nyenǣciyeq ŋămcari ninawh ŋaworq ilyewand yambanh,"
./data/wav_split_gold/892.wav	"Ti, Muŋgoq pyay ăbi yesya yarăkocyah myu saaltasʹ tiki păsih nyu tiki tǣ tuyesăr tyuquq nyah ŋanih loomba tolih. "
./data/wav_split_gold/47.wav	"Ti mălyaŋgi, tamălyaŋgǣǣd măncărawi, măncara tyedah ti ŋudini ŋǣyaq, "
./data/wav_split_gold/1589.wav	 Nyund nyukubc tyeda [nyeracbortʃiwo]. 
./data/wav_split_gold/1636.wav	[nyeracbortʃiwo]
./data/wav_split_gold/1155.wav	"[nyeracbortʃiwo] myakănda ăya,"
./data/wav_split_gold/1581.wav	 Tyukond ti malda? 
./data/wav_split_gold/493.wav	"Maqniwq wǣbărkar tărcya maqniwq,"
./data/wav_split_gold/623.wav	"maqniwq pumnanih nidawh moh,"
./data/wav_split_gold/512.wav	Nyani maqnisawh man-in.
./data/wav_split_gold/877.wav	"«Ta ānyeh,"
./data/wav_split_gold/740.wav	tiki nyūdya ŋămgǣh yeqǣ̌mnya ŋǣdăraŋguda?
./data/wav_split_gold/633.wav	ărta owǣda nyuda ŋǣqniwh».
./data/wav_split_gold/1562.wav	Myakandih anadih. 
./data/wav_split_gold/22.wav	Karaulănh pyeryeʃyol pyatiy klassănh.
./data/wav_split_gold/766.wav	siqmi ŋǣdăraq. 
./data/wav_split_gold/1052.wav	"Yaah lăŋgaăna ŋamdǣ̄ anih, "
./data/wav_split_gold/811.wav	Piwaawaăwada ŋoka taŋok nyenǣciyeq ada tǒurh ŋǣdaki ilyewanda yambănh măqlămbăwida. 
./data/wav_split_gold/471.wav	maqniwq yewăkoot yeǣraŋaah.
./data/wav_split_gold/783.wav	"«Ŋămgǣdăni taromna ŋǣdărawǣǣyain, "
./data/wav_split_gold/1128.wav	ŋulih pǣbtaqnidawh. 
./data/wav_split_gold/1413.wav	"myuykonda pyelyakăimh,"
./data/wav_split_gold/1355.wav	"ānda siid laăna,"
./data/wav_split_gold/411.wav	"Ti ŋǣǣ̌yuda tuh sidya ǣwuwna mǣwǣǣyudā aniq,"
./data/wav_split_gold/735.wav	maqniwq irinataq nisyanataq ŋǣw ŋamiq ŋanih siqiw abtēqǣ maqniwq ŋanih sǣwaqni aqmidh».
./data/wav_split_gold/854.wav	«Ŋămgǣ sidyambonih tyedananih?»
./data/wav_split_gold/912.wav	maqniwq wadyetănakin ŋulyēq».
./data/wav_split_gold/1315.wav	«Ŋămcaănda tyebbăqnanda maqniwq an». 
./data/wav_split_gold/2.wav	"Pada ni yutʃitʹq (Pida ni yusidaq), "
./data/wav_split_gold/401.wav	«Pǐr(pidăr) anyah pyar?»
./data/wav_split_gold/898.wav	«Ti ŋamgǣǣrt salăba ŋamgǣǣrt salăba yǎŋgō anih».
./data/wav_split_gold/1426.wav	"yesyaana taă̌rawi,"
./data/wav_split_gold/92.wav	"Tăkad tăd silasyatiwa"" manbtǣwiq yah obamh abrawaq,"
./data/wav_split_gold/187.wav	"tyeda' laana nyanani ŋǣ""ya""ŋa."
./data/wav_split_gold/66.wav	"Ŋobh pyaaya, tănyah tǣwinih tiki kak rac,"
./data/wav_split_gold/222.wav	ŋokam' wunin ŋawort' tǣri ŋob' sidya syarkam' ŋaman masʹ. 
./data/wav_split_gold/897.wav	«Ti mi salăba myunanda ŋǣwaki».
./data/wav_split_gold/433.wav	Maqniwq ti yesya arwămda tǣwqmaădănda ti madaŋguqnidaqămhniduqǔmh aniq.
./data/wav_split_gold/622.wav	"Siirtyar pinh niqimh cyurbǣq anih,"
./data/wav_split_gold/673.wav	Pyelyeyh nyana tikidoh cilpiq yalyah yambănh.
./data/wav_split_gold/97.wav	Tikād (tikaăd) wǣnyekud ŋǣyaq.
./data/wav_split_gold/30.wav	"Ti ŋămgǣh pirathmăncarawaq tănyana, "
./data/wav_split_gold/265.wav	Tyeda ti ibyaart ibyaart ni punryuq. Ti.
./data/wav_split_gold/1435.wav	Ti tikăawaad tyey nyedah myumnya taminda yaamh mădănakǣda ănyada mădah ŋămgǣh.
./data/wav_split_gold/353.wav	Yǎtrih syurămbi tănya ŋadʹbăta yath.
./data/wav_split_gold/659.wav	Ŋulih  puucya.
./data/wav_split_gold/1430.wav	maqniwq mi: 
./data/wav_split_gold/179.wav	ŋǣsiinando'. 
./data/wav_split_gold/1205.wav	Syudbyani myakna mălye syanh tyukǒona ilyebaqni ŋodh maqniwq syudbyah nye nyuh waqăwana.
./data/wav_split_gold/1540.wav	"ănoh tirănăwah yolʹcyǎŋgăna, "
./data/wav_split_gold/1339.wav	"tah ŋǣdakiq,"
./data/wav_split_gold/943.wav	siqiw taŋocyah tyer ŋawoqmaadăndaq maqniwq ti maqniwq ăbărtaq yeryemyaq tyedah maqniwaq».
./data/wav_split_gold/1587.wav	Nyeңǣ anyoq Miniko Miniko ayeda. 
./data/wav_split_gold/206.wav	"nyankoda,"
./data/wav_split_gold/1699.wav	 Putkodanih putkoonih! 
./data/wav_split_gold/257.wav	"tamalyaŋgiq tikiq ŋaat yadǣrmiq, "
./data/wav_split_gold/1536.wav	numh sirǣymawa tiki asăwar.
./data/wav_split_gold/1513.wav	"tiki nyemh pǣŋada anih, tyeǣ madrota yaah ǣwanhanada. "
./data/wav_split_gold/321.wav	Tyedaq Siirtya ănyah pyar?
./data/wav_split_gold/1487.wav	"Yeǣy, laănăkor tyeǣ miq nyana ăyow,"
./data/wav_split_gold/1318.wav	"Tiki lukămd taslaăya tad pitărmanda yaanda tyuku mǣqyada ti orkih piyǎraa niwŋaq aniq, "
./data/wav_split_gold/1331.wav	nyah tăryemh oda Miniko.
./data/wav_split_gold/400.wav	"Maqniwq, Siirtyanh maqniw:"
./data/wav_split_gold/275.wav	ŋa nyewiq tiki nyenǣcyaq.
./data/wav_split_gold/1306.wav	Ti.
./data/wav_split_gold/154.wav	"pyaŋgu"" pyaŋgu""ni""wa""am'. "
./data/wav_split_gold/430.wav	"Maqniwq yesya arw,"
./data/wav_split_gold/61.wav	"Tăd tikaăd ti brigadirmi maqnyu"": "
./data/wav_split_gold/1258.wav	"uŋgonda mih tyaah, "
./data/wav_split_gold/1095.wav	almyerq liq ŋulih ŋaranda ŋulih tikaăna ŋaq.
./data/wav_split_gold/424.wav	" wadyet, siqmi wadyesq». "
./data/wav_split_gold/434.wav	"Maqniwq mǣ uyuh nyah awăŋgu maqniwq mi,"
./data/wav_split_gold/1375.wav	"Tiki abtyeăbida tiki yaah yerʹh tad widărawadih yaănandih,"
./data/wav_split_gold/1386.wav	"«Mad măncyaw yada tutadmh, "
./data/wav_split_gold/1419.wav	Maqniwq mi:
./data/wav_split_gold/747.wav	"«Sit nidmh ŋǣdăraŋguh,"
./data/wav_split_gold/1140.wav	"«Yǎŋgu tǣri syanakunima,"
./data/wav_split_gold/57.wav	tinaq tăryemh ăyaq. 
./data/wav_split_gold/661.wav	nyero yaah ǣwana siqiw ăbi.
./data/wav_split_gold/1209.wav	"Tuh ŋǣǣyuda tuh sidya ǣwuwna mǣŋguuyuda maqniwq myata tyaănyaŋi ǣw maqniwq ŋopoyriŋǣ nyāănda masʹ,"
./data/wav_split_gold/1081.wav	"«Ta, ănyana ŋa asryor,"
./data/wav_split_gold/786.wav	Sidyowondasʹ.
./data/wav_split_gold/534.wav	"Siirtya maqniwq nin mălyeq,"
./data/wav_split_gold/900.wav	"ŋilʹnyād loomba,"
./data/wav_split_gold/144.wav	"nya""marpa pya""."
./data/wav_split_gold/690.wav	"Nyermya toqyada tah ŋar,"
./data/wav_split_gold/1720.wav	 A maqniwq tiki pǣdarar anyana aya? 
./data/wav_split_gold/230.wav	"Ti wǣnyeko"" ŋǣya"" mal' tǣsawǣy' parada""ni""na""am'."
./data/wav_split_gold/1676.wav	"	yeyeye."
./data/wav_split_gold/1454.wav	tuhyesya tănyasʹ. 
./data/wav_split_gold/46.wav	Ti.
./data/wav_split_gold/51.wav	ti tiq awah mălyaŋgăna. 
./data/wav_split_gold/734.wav	"maqniwq ŋămgǣmh manǣtadmh maqniwq tăŋocyamaq tyersinyoq maqniwq,"
./data/wav_split_gold/83.wav	Tărsih mintaart ni anash. 
./data/wav_split_gold/1031.wav	"Tikămda makănda mǣda,"
./data/wav_split_gold/8.wav	Ʃamyan mac-yam maldambi. (Syamyan măncayam’ maldambi). 
./data/wav_split_gold/1236.wav	Piya yarăkond maqniwq mǣda sooh sidya yaduwna maqniwq sidya yutyekăda măntircʹ ǣbyanondih. 
./data/wav_split_gold/476.wav	"Maqniwq tikaah ayuqmaăd păriqyaq  odămcʹ,"
./data/wav_split_gold/675.wav	Nyudya ăbir maqniwq: 
./data/wav_split_gold/127.wav	ănyanido' sracu lyeǣbtǣyadh. 
./data/wav_split_gold/1346.wav	"Nyumdya anih Tuh yash putko,"
./data/wav_split_gold/1439.wav	Wih tyer ilyenya nyenǣcyaŋǣ nirawinyoq anʹh.
