,index,start,end,transcription,source,lang,full_path_infile,full_path_outfile,log_file_name
16,16,15.694,16.783,"padnăwami tǣwi"".",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/16.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/16.log
17,17,16.916,17.766,Muŋguyăna ,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/17.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/17.log
18,18,18.12,20.073,natʃalʹniy klass' yolʹcyandh (yolʹtʃyand') padnadmh.,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/18.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/18.log
19,19,20.073,26.779, ,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/19.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/19.log
20,20,26.779,28.269,Tăd tikaăd natʃalʹniy klass' pud,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/20.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/20.log
21,21,28.269,28.624, ,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/21.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/21.log
22,22,28.624,30.773000000000003,Karaulănh pyeryeʃyol pyatiy klassănh.,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/22.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/22.log
23,23,30.773000000000003,31.174, ,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/23.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/23.log
24,24,31.174,33.866,Ti tiki mǣǣna taminni Karaulăna yolʹcyeyawh.,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/24.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/24.log
25,25,33.866,39.866,  ,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/25.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/25.log
26,26,39.866,40.286, Tăka?],TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/26.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/26.log
27,27,40.661,45.133,"Tăd tăkad ti tyedah tiki mǣnyuq, yolʹcyeqmaădani, yetya oyh nih măncăralluwh.",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/27.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/27.log
28,28,46.423,48.603,Piliq ponh oyh nih măncăralqnyowamh.,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/28.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/28.log
29,29,50.107,52.684,Nisyani wǣsakoh ŋǣsiit tikaăd mănʹ măncăralluwh.,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/29.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/29.log
30,30,54.0,55.706,"Ti ŋămgǣh pirathmăncarawaq tănyana, ",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/30.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/30.log
31,31,55.706,57.892,ti Muŋguyăna syan ti po mǣnakǣwaq. ,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/31.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/31.log
32,32,57.892,59.185, ,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/32.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/32.log
33,33,59.185,62.56800000000001,Tăd tikaăd taqălʹnyayu sidnaq UstʹPortănh sidnaq tǣwraq.,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/33.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/33.log
34,34,64.672,66.531,"Sowoc Oktyabrʹskiy ŋǣǣqnyu"".",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/34.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/34.log
35,35,70.62899999999998,72.46, Aga. Tăka?],TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/35.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/35.log
36,36,72.788,75.985,"Ŋǣya, Oktyabrʹskiy sowocăna tyukoona măncăradmh. ",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/36.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/36.log
37,37,75.985,77.59100000000002,Nyerdye pǣdariq nyana măncăradmh.,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/37.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/37.log
38,38,78.446,82.31200000000003,"Tăd tikaăd tayna, tyuku taqălʹnyana măncăradmh, tă inkih nyakuna mǣwacʹ.",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/38.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/38.log
39,39,89.49,91.977,"Ta, ti tăryemh măncăraqmaădănaq syanaw po ǣnyaki.",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/39.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/39.log
40,40,92.698,95.684,"Ti, siqiw yuq ŋămgǣǣw poona, yekar"". ",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/40.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/40.log
41,41,96.349,97.847,"Siqiw yuq măt"" po ŋǣwi ŋǣbtă.",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/41.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/41.log
42,42,98.208,99.395,"Tamălyaŋgăna nyerdyenya ŋăcyeki (ŋătʃyeki),",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/42.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/42.log
43,43,99.654,101.195,nye ŋăcyekǣmi (ŋătʃyekǣmi) nyaărpoy podasʹ.,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/43.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/43.log
44,44,101.989,104.005,Ti tinaq wǣwako abcyaŋgăna aq. ,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/44.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/44.log
45,45,104.878,107.401,Lucah wadawna mancʹ sibirskiy yacwaăna aq.,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/45.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/45.log
46,46,109.013,109.269,Ti.,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/46.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/46.log
47,47,110.253,113.464,"Ti mălyaŋgi, tamălyaŋgǣǣd măncărawi, măncara tyedah ti ŋudini ŋǣyaq, ",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/47.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/47.log
48,48,114.026,116.111,ŋǣni ŋodʹbyatoh wǣwaq ŋǣqnimh.,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/48.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/48.log
49,49,116.393,118.063,oyh niymh yadri syurtyeqnisăwawh.,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/49.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/49.log
50,50,120.532,123.564,"Ti tamălyaŋgăna tyeda' ti tăryemh ŋǣqnyuh, nyerdyenya yanh ŋǣsuqniwamh, ",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/50.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/50.log
51,51,124.071,125.007,ti tiq awah mălyaŋgăna. ,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/51.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/51.log
52,52,126.224,127.994,Tiki mǣǣna ŋănih raciyawaq yaŋgu.,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/52.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/52.log
53,53,129.279,130.14700000000002,Ŋuli' yadyembi.,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/53.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/53.log
54,54,131.797,133.482,"Ti brigadirwaq, ",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/54.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/54.log
55,55,133.81799999999998,135.69,"tah ŋănih taki nyenǣcyamh ŋǣdătamba pyasyǎti, ",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/55.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/55.log
56,56,135.69,137.74,"tʃtob taki raciyasawǣy nyenǣcyaŋgq mancʹ ǣsyǎtiwa,",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/56.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/56.log
57,57,137.74,138.832,tinaq tăryemh ăyaq. ,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/57.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/57.log
58,58,139.622,141.105,Tikiq ŋuliq lǣkdaq. ,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/58.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/58.log
59,59,141.959,143.654,"Maqnyu"": ""Tărcya yadyembădăăna",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/59.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/59.log
60,60,144.195,145.15200000000004,"ibya ānda?"" ",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/60.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/60.log
61,61,146.622,148.315,"Tăd tikaăd ti brigadirmi maqnyu"": ",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/61.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/61.log
62,62,148.322,149.83,"""Mănih sit nyah ǣǣnih,",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/62.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/62.log
63,63,150.589,152.459,"ti taki dalʹniyarka ŋǣsinh, ",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/63.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/63.log
64,64,152.787,154.105,"tănyana raciyadoh tanyawa"".",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/64.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/64.log
65,65,155.0,156.785,"Mǣ ti tănya' ăyanih, ŋuliq yadyembi.",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/65.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/65.log
66,66,158.665,160.766,"Ŋobh pyaaya, tănyah tǣwinih tiki kak rac,",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/66.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/66.log
67,67,161.257,163.19299999999996,pǣwsyumnyaŋi raciyah laănawamh tǣwamih.,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/67.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/67.log
68,68,164.391,165.725,Ti raciyaăna maq. ,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/68.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/68.log
69,69,167.43599999999995,169.632,"Tikād (tikaăd) tikariina pǣwsyumnyana saltqninyu"" tikiq,",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/69.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/69.log
70,70,169.64700000000005,171.75099999999995,tikiq tănyana mǣnaq tiki tiq lyekarmh,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/70.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/70.log
71,71,172.028,173.847,raciyasawǣyq myaknih solamih.,TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/71.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/71.log
72,72,174.813,175.88,"Ti myadoqmăna yadǣrŋa, ",TOYa_audio_TNenets.wav,yrk,/Volumes/Boston/Data/NLP/SharedTask/ASR/Pilot_Data/audio_to_release/yrk/TOYa_audio_TNenets.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/72.wav,/Volumes/Boston/Scratch/dli_del/wav_split_gold/logs/72.log
